"vtran","ekatransitif","mencintai"
"vtran","ekatransitif","menyayangi"
"vtran","ekatransitif","menyantap"
"vtran","ekatransitif","menangkap"
"vtran","ekatransitif","belilah"
"vtran","ekatransitif","butuh"
"vtran","ekatransitif","kehilangan"
"vtran","ekatransitif","lakukan"
"vtran","ekatransitif","melahirkan"
"vtran","ekatransitif","melaksanakan"
"vtran","ekatransitif","melakukan"
"vtran","ekatransitif","melampaui"
"vtran","ekatransitif","melancarkan"
"vtran","ekatransitif","melanggar"
"vtran","ekatransitif","melanjutkan"
"vtran","ekatransitif","melapor"
"vtran","ekatransitif","melaporkan"
"vtran","ekatransitif","melawan"
"vtran","ekatransitif","melayani"
"vtran","ekatransitif","melebihi"
"vtran","ekatransitif","melengkapi"
"vtran","ekatransitif","melepas"
"vtran","ekatransitif","melepaskan"
"vtran","ekatransitif","meletakkan"
"vtran","ekatransitif","melibatkan"
"vtran","ekatransitif","melihat"
"vtran","ekatransitif","melimpahkan"
"vtran","ekatransitif","melindungi"
"vtran","ekatransitif","melingkari"
"vtran","ekatransitif","melintasi"
"vtran","ekatransitif","melumpuhkan"
"vtran","ekatransitif","melupakan"
"vtran","ekatransitif","memadukan"
"vtran","ekatransitif","memahami"
"vtran","ekatransitif","memajukan"
"vtran","ekatransitif","memakai"
"vtran","ekatransitif","memaksa"
"vtran","ekatransitif","memandang"
"vtran","ekatransitif","memanfaatkan"
"vtran","ekatransitif","memanggil"
"vtran","ekatransitif","memasok"
"vtran","ekatransitif","memastikan"
"vtran","ekatransitif","memasukan"
"vtran","ekatransitif","memasuki"
"vtran","ekatransitif","memasukkan"
"vtran","ekatransitif","mematuhi"
"vtran","ekatransitif","membahas"
"vtran","ekatransitif","membahayakan"
"vtran","ekatransitif","membakar"
"vtran","ekatransitif","membalaskan"
"vtran","ekatransitif","membandingkan"
"vtran","ekatransitif","membangun"
"vtran","ekatransitif","membantu"
"vtran","ekatransitif","membaptis"
"vtran","ekatransitif","membatalkan"
"vtran","ekatransitif","membatasi"
"vtran","ekatransitif","membawa"
"vtran","ekatransitif","membayangkan"
"vtran","ekatransitif","membayar"
"vtran","ekatransitif","membedakan"
"vtran","ekatransitif","membela"
"vtran","ekatransitif","membeli"
"vtran","ekatransitif","membenarkan"
"vtran","ekatransitif","membentuk"
"vtran","ekatransitif","memberantas"
"vtran","ekatransitif","memberhentikan"
"vtran","ekatransitif","memberi"
"vtran","ekatransitif","memberikan"
"vtran","ekatransitif","memberitahukan"
"vtran","ekatransitif","memberitakan"
"vtran","ekatransitif","membersihkan"
"vtran","ekatransitif","membesarkan"
"vtran","ekatransitif","membetulkan"
"vtran","ekatransitif","membiayai"
"vtran","ekatransitif","membicarakan"
"vtran","ekatransitif","membina"
"vtran","ekatransitif","memblokir"
"vtran","ekatransitif","membuahkan"
"vtran","ekatransitif","membuat"
"vtran","ekatransitif","membubarkan"
"vtran","ekatransitif","membuka"
"vtran","ekatransitif","membuktikan"
"vtran","ekatransitif","membunuh"
"vtran","ekatransitif","membutuhkan"
"vtran","ekatransitif","memecahkan"
"vtran","ekatransitif","memegang"
"vtran","ekatransitif","memelihara"
"vtran","ekatransitif","memeluk"
"vtran","ekatransitif","memenangkan"
"vtran","ekatransitif","memenuhi"
"vtran","ekatransitif","memeriahkan"
"vtran","ekatransitif","memeriksa"
"vtran","ekatransitif","memerlukan"
"vtran","ekatransitif","memesan"
"vtran","ekatransitif","memetik"
"vtran","ekatransitif","memfasilitasi"
"vtran","ekatransitif","memfokuskan"
"vtran","ekatransitif","memfungsikan"
"vtran","ekatransitif","memicu"
"vtran","ekatransitif","memilih"
"vtran","ekatransitif","memiliki"
"vtran","ekatransitif","memimpin"
"vtran","ekatransitif","meminta"
"vtran","ekatransitif","memintakan"
"vtran","ekatransitif","memompa"
"vtran","ekatransitif","memotong"
"vtran","ekatransitif","mempelajari"
"vtran","ekatransitif","memperbaiki"
"vtran","ekatransitif","memperbarui"
"vtran","ekatransitif","memperberat"
"vtran","ekatransitif","memperburuk"
"vtran","ekatransitif","mempercepat"
"vtran","ekatransitif","memperebutkan"
"vtran","ekatransitif","memperhatikan"
"vtran","ekatransitif","memperhitungkan"
"vtran","ekatransitif","memperingati"
"vtran","ekatransitif","memperjuangkan"
"vtran","ekatransitif","memperkuat"
"vtran","ekatransitif","memperlancar"
"vtran","ekatransitif","memperlengkapi"
"vtran","ekatransitif","memperlihatkan"
"vtran","ekatransitif","memperluas"
"vtran","ekatransitif","mempermudah"
"vtran","ekatransitif","memperoleh"
"vtran","ekatransitif","mempersiapkan"
"vtran","ekatransitif","mempertahankan"
"vtran","ekatransitif","mempertanggungjawabkan"
"vtran","ekatransitif","mempertimbangkan"
"vtran","ekatransitif","mempresentasikan"
"vtran","ekatransitif","memprioritaskan"
"vtran","ekatransitif","memproduksi"
"vtran","ekatransitif","memproses"
"vtran","ekatransitif","memprotes"
"vtran","ekatransitif","mempunyai"
"vtran","ekatransitif","memuaskan"
"vtran","ekatransitif","memuat"
"vtran","ekatransitif","memudahkan"
"vtran","ekatransitif","memulai"
"vtran","ekatransitif","memulihkan"
"vtran","ekatransitif","memungkinkan"
"vtran","ekatransitif","memusatkan"
"vtran","ekatransitif","memvisualisasikan"
"vtran","ekatransitif","menaati"
"vtran","ekatransitif","menagih"
"vtran","ekatransitif","menahan"
"vtran","ekatransitif","menaikkan"
"vtran","ekatransitif","menambah"
"vtran","ekatransitif","menambahkan"
"vtran","ekatransitif","menampilkan"
"vtran","ekatransitif","menampung"
"vtran","ekatransitif","menandatangani"
"vtran","ekatransitif","menandingi"
"vtran","ekatransitif","menangani"
"vtran","ekatransitif","menanggulangi"
"vtran","ekatransitif","menarik"
"vtran","ekatransitif","menawarkan"
"vtran","ekatransitif","mencabut"
"vtran","ekatransitif","mencakup"
"vtran","ekatransitif","mencalonkan"
"vtran","ekatransitif","mencari"
"vtran","ekatransitif","mencatat"
"vtran","ekatransitif","mencegah"
"vtran","ekatransitif","mencerdaskan"
"vtran","ekatransitif","mencetak"
"vtran","ekatransitif","menciptakan"
"vtran","ekatransitif","mencoba"
